artist,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop
3OH!3,138.0,89.0,68.0,-4.0,36.0,83.0,192.0,1.0,8.0,62.0
5 Seconds of Summer,160.0,95.0,49.0,-4.0,33.0,44.0,202.0,0.0,13.0,71.0
A Great Big World,138.0,15.0,45.0,-9.0,9.0,9.0,229.0,87.0,3.0,61.0
Adam Lambert,158.5,79.5,54.5,-4.5,21.5,62.0,227.5,1.0,8.0,62.5
Adele,119.3,47.3,52.3,-11.4,10.4,35.4,257.5,35.3,4.0,61.5
Alan Walker,124.0,88.0,69.0,-4.0,15.0,49.0,192.0,4.0,6.0,70.0
Alessia Cara,129.5,73.0,41.0,-6.0,8.5,31.75,201.0,8.75,17.0,71.5
Alesso,126.0,75.0,52.0,-4.0,24.0,35.0,210.0,4.0,6.0,56.0
Alicia Keys,100.66666666666667,60.333333333333336,58.666666666666664,-6.833333333333333,13.833333333333334,29.0,254.0,26.0,10.5,55.5
Ansel Elgort,140.0,62.0,77.0,-5.0,21.0,68.0,191.0,6.0,10.0,72.0
Ariana Grande,115.22222222222223,75.11111111111111,64.11111111111111,-5.111111111111111,22.11111111111111,49.111111111111114,221.66666666666666,8.444444444444445,11.333333333333334,75.77777777777777
Austin Mahone,113.0,85.0,67.0,-5.5,15.5,63.0,217.5,0.0,4.0,59.5
Avicii,121.66666666666667,74.33333333333333,57.0,-6.0,11.333333333333334,46.333333333333336,245.0,2.6666666666666665,4.666666666666667,76.0
Avril Lavigne,167.0,94.5,52.5,-3.5,24.0,77.5,214.0,0.5,9.0,67.5
Bastille,127.0,72.0,68.0,-6.0,27.0,57.0,214.0,8.0,4.0,73.0
Bebe Rexha,87.5,68.5,59.5,-5.5,9.5,37.0,202.5,3.5,4.0,60.5
Beyoncé,126.875,65.5,55.625,-6.625,25.75,41.375,262.875,10.25,12.75,66.25
Birdy,103.4,46.4,53.8,-7.6,13.4,34.6,209.8,46.6,3.6,52.6
Britney Spears,126.88888888888889,68.11111111111111,65.33333333333333,-5.777777777777778,16.77777777777778,57.666666666666664,225.44444444444446,5.111111111111111,7.666666666666667,55.22222222222222
Bruno Mars,126.15384615384616,74.15384615384616,69.6923076923077,-5.3076923076923075,13.692307692307692,60.76923076923077,224.46153846153845,17.307692307692307,4.923076923076923,72.0
BØRNS,120.0,80.0,61.0,-8.0,26.0,52.0,218.0,1.0,5.0,76.0
CNCO,94.0,91.0,53.0,-3.0,10.0,62.0,189.0,15.0,9.0,71.0
Calvin Harris,122.6,88.3,66.5,-3.5,17.7,52.4,216.2,12.7,6.4,78.2
Camila Cabello,106.66666666666667,61.0,57.666666666666664,-4.666666666666667,13.666666666666666,41.333333333333336,220.0,22.333333333333332,16.666666666666668,72.33333333333333
Cardi B,130.33333333333334,68.0,90.66666666666667,-6.0,26.666666666666668,46.0,247.0,7.333333333333333,16.666666666666668,66.66666666666667
Carly Rae Jepsen,118.0,77.8,66.4,-5.2,21.0,52.0,218.2,1.0,5.0,64.0
Cashmere Cat,133.5,57.0,56.0,-7.0,15.5,33.0,183.0,15.5,10.5,61.5
Charli XCX,92.0,81.0,68.0,-4.0,34.0,64.0,169.0,7.0,6.0,50.0
Charlie Puth,97.0,70.66666666666667,74.33333333333333,-5.0,23.666666666666668,66.33333333333333,206.33333333333334,28.666666666666668,10.333333333333334,61.0
Chris Brown,117.66666666666667,72.33333333333333,66.66666666666667,-5.333333333333333,13.666666666666666,49.333333333333336,243.66666666666666,4.0,9.666666666666666,71.66666666666667
Christina Aguilera,122.5,63.333333333333336,50.666666666666664,-5.5,20.333333333333332,41.833333333333336,216.16666666666666,50.666666666666664,10.333333333333334,59.333333333333336
Christina Perri,119.33333333333333,41.666666666666664,40.333333333333336,-6.333333333333333,11.333333333333334,16.666666666666668,261.0,39.0,3.3333333333333335,66.33333333333333
Ciara,107.0,70.0,77.0,-6.0,6.0,79.0,227.0,1.0,3.0,43.0
Clean Bandit,111.5,67.5,76.0,-5.5,18.5,64.5,239.5,28.5,4.5,75.5
Coldplay,137.25,65.0,42.75,-6.5,15.25,18.0,266.25,17.25,3.25,58.75
DJ Khaled,105.0,70.0,60.333333333333336,-4.0,12.666666666666666,69.66666666666667,251.0,5.333333333333333,15.0,74.33333333333333
DJ Snake,98.0,76.0,74.5,-4.5,10.0,39.0,209.5,12.5,13.0,79.5
DNCE,116.57142857142857,77.57142857142857,70.0,-5.571428571428571,13.0,83.42857142857143,212.85714285714286,6.428571428571429,5.571428571428571,62.57142857142857
Daddy Yankee,94.0,87.0,74.0,-3.0,4.0,61.0,181.0,17.0,5.0,76.0
Daft Punk,108.0,73.5,81.0,-8.5,9.0,76.5,301.0,6.0,5.0,74.5
Dan + Shay,86.0,59.0,47.0,-6.0,13.0,50.0,196.0,3.0,3.0,76.0
David Guetta,130.33333333333334,74.0,59.888888888888886,-4.333333333333333,24.333333333333332,46.111111111111114,208.11111111111111,11.333333333333334,6.555555555555555,63.77777777777778
Demi Lovato,123.125,74.25,60.0,-5.25,21.75,55.5,202.625,3.625,8.625,66.75
Disclosure,122.0,73.0,50.0,-5.0,9.0,52.0,256.0,2.0,17.0,72.0
Drake,109.0,53.0,78.0,-7.5,8.5,34.0,245.5,2.5,10.0,73.5
Dua Lipa,101.66666666666667,64.33333333333333,72.33333333333333,-5.666666666666667,9.666666666666666,48.0,213.0,4.0,9.333333333333334,78.33333333333333
Ed Sheeran,101.27272727272727,62.09090909090909,73.45454545454545,-5.7272727272727275,16.727272727272727,68.36363636363636,230.0,27.636363636363637,7.181818181818182,78.36363636363636
Ellie Goulding,131.0,73.6,58.0,-5.8,12.0,50.2,238.8,25.6,4.2,66.4
Emeli Sandé,110.33333333333333,55.666666666666664,56.666666666666664,-7.0,12.333333333333334,25.333333333333332,218.66666666666666,34.333333333333336,3.6666666666666665,59.0
Eminem,84.5,68.5,61.5,-7.5,58.0,63.0,283.5,52.5,23.5,73.5
Enrique Iglesias,119.0,89.6,68.0,-4.0,13.2,69.8,218.2,2.0,8.4,55.2
Far East Movement,125.0,84.0,44.0,-8.0,12.0,78.0,217.0,1.0,45.0,72.0
Fergie,154.0,54.333333333333336,66.66666666666667,-6.666666666666667,14.666666666666666,43.666666666666664,225.0,1.3333333333333333,15.0,43.333333333333336
Fifth Harmony,108.0,69.0,80.75,-5.25,14.5,51.25,199.75,4.25,7.0,69.75
Flo Rida,111.0,78.5,65.5,-4.5,9.5,60.5,213.5,2.5,4.0,75.0
Florence + The Machine,120.33333333333333,60.333333333333336,37.666666666666664,-7.333333333333333,12.0,15.666666666666666,293.6666666666667,50.0,5.0,54.0
G-Eazy,100.0,70.0,67.5,-6.5,23.5,28.5,260.0,3.5,9.5,78.0
Galantis,110.0,90.0,74.0,-2.0,8.0,65.0,184.0,7.0,5.0,55.0
Gwen Stefani,112.66666666666667,68.66666666666667,77.0,-4.666666666666667,14.333333333333334,53.333333333333336,207.33333333333334,4.333333333333333,4.666666666666667,47.0
Gym Class Heroes,90.0,80.0,65.0,-3.0,27.0,80.0,211.0,3.0,10.0,54.0
Hailee Steinfeld,101.0,71.33333333333333,68.33333333333333,-4.666666666666667,8.0,57.0,192.0,14.666666666666666,6.333333333333333,78.66666666666667
Halsey,118.0,75.0,68.0,-4.0,9.0,61.0,181.0,6.0,3.0,78.0
Harry Styles,120.0,57.0,52.0,-5.0,11.0,21.0,341.0,3.0,3.0,72.0
Hayley Kiyoko,104.0,79.0,63.0,-4.0,16.0,41.0,220.0,5.0,6.0,67.0
Hilary Duff,123.0,82.0,71.0,-5.5,7.0,59.5,195.0,2.0,6.0,40.0
Hot Chelle Rae,100.0,78.0,69.0,-5.0,16.0,81.0,200.0,8.0,12.0,75.0
Hozier,129.0,66.0,57.0,-5.0,12.0,44.0,242.0,63.0,5.0,81.0
Icona Pop,126.0,91.0,71.0,-3.0,15.0,82.0,157.0,1.0,3.0,67.0
Iggy Azalea,95.0,72.0,91.0,-4.0,5.0,38.0,200.0,9.0,7.0,70.0
J Balvin,105.0,72.0,76.0,-6.0,23.0,47.0,210.0,2.0,8.0,68.0
James Arthur,170.0,70.0,38.0,-5.0,11.0,30.0,209.0,14.0,9.0,77.0
Janet Jackson,123.0,71.0,83.0,-7.0,31.0,83.0,250.0,5.0,18.0,31.0
Jason Derulo,94.5,66.25,71.75,-6.25,17.0,69.5,199.0,17.0,19.5,70.25
Jennifer Hudson,109.0,53.0,90.0,-5.0,8.0,65.0,255.0,0.0,5.0,18.0
Jennifer Lopez,122.0,77.7,69.2,-5.0,18.1,60.6,231.7,11.4,13.1,55.9
Jess Glynne,120.0,82.0,57.0,-3.0,16.0,66.0,211.0,6.0,3.0,52.0
Jessie J,150.66666666666666,71.0,70.33333333333333,-4.333333333333333,23.0,73.0,218.0,10.333333333333334,10.0,67.33333333333333
Jewel,132.0,34.0,51.0,-11.0,12.0,7.0,250.0,23.0,3.0,36.0
Joey Montana,186.0,81.0,70.0,-3.0,37.0,69.0,225.0,9.0,7.0,29.0
John Legend,115.0,15.0,47.0,-11.0,11.0,29.5,290.0,95.5,3.5,66.5
John Newman,126.0,89.0,50.0,-5.0,10.0,21.0,240.0,0.0,4.0,73.0
Jonas Blue,104.0,79.0,74.0,-4.0,5.0,57.0,184.0,10.0,4.0,75.0
Jonas Brothers,126.66666666666667,73.66666666666667,77.33333333333333,-4.333333333333333,15.0,90.66666666666667,187.33333333333334,7.333333333333333,7.333333333333333,75.0
Justin Bieber,111.625,62.5625,62.6875,-6.8125,18.25,50.8125,208.625,29.0625,11.5,71.875
Justin Timberlake,104.11111111111111,65.11111111111111,67.66666666666667,-6.0,29.88888888888889,47.111111111111114,297.8888888888889,8.0,11.88888888888889,56.888888888888886
Kanye West,125.0,69.0,63.0,-6.0,67.0,10.0,379.0,0.0,20.0,73.0
Katy Perry,132.23529411764707,75.94117647058823,65.70588235294117,-5.0588235294117645,21.0,59.88235294117647,224.1764705882353,3.8823529411764706,6.411764705882353,62.11764705882353
Kelly Clarkson,133.0,74.2,48.8,-5.0,17.0,50.8,236.6,11.0,4.6,62.4
Kelly Rowland,104.0,78.0,65.0,-5.0,12.0,45.0,274.0,13.0,6.0,28.0
Kesha,117.11111111111111,70.66666666666667,73.0,-4.444444444444445,17.11111111111111,64.55555555555556,207.77777777777777,8.11111111111111,6.555555555555555,67.88888888888889
Khalid,136.0,40.0,90.0,-9.0,6.0,35.0,198.0,5.0,13.0,84.0
Kygo,96.0,59.75,64.75,-7.0,9.75,57.0,209.25,13.5,8.0,77.25
LMFAO,130.0,80.0,73.0,-4.0,23.0,57.5,230.5,6.0,24.0,69.5
Labrinth,84.0,52.0,56.0,-6.0,10.0,23.0,272.0,23.0,4.0,70.0
Lady Gaga,120.14285714285714,74.85714285714286,64.0,-5.214285714285714,19.214285714285715,49.857142857142854,246.57142857142858,8.071428571428571,5.285714285714286,68.85714285714286
Lana Del Rey,115.0,60.5,59.25,-8.75,20.0,18.75,253.25,27.75,7.0,66.75
Lea Michele,92.0,82.0,56.0,-3.0,19.0,57.0,215.0,2.0,5.0,37.0
Lewis Capaldi,110.0,41.0,50.0,-6.0,11.0,45.0,182.0,75.0,3.0,96.0
Liam Payne,104.0,70.33333333333333,68.33333333333333,-5.0,19.333333333333332,54.666666666666664,214.0,8.0,13.666666666666666,69.33333333333333
Lilly Wood and The Prick,123.0,89.0,76.0,-5.0,62.0,78.0,189.0,2.0,3.0,58.0
Lily Allen,130.0,50.0,78.0,-7.0,11.0,39.0,235.0,15.0,4.0,37.0
Little Mix,131.2,77.2,68.2,-4.0,36.0,69.2,216.4,7.2,16.2,62.8
