title,artist,genre,genre_num,subgenre,year,bpm,dnce,dB,dur
"Hey, Soul Sister",Train,neo mellow,1,neo mellow,2010,97,67,-4,217
Love The Way You Lie,Eminem,hip hop,16,detroit hip hop,2010,87,75,-5,263
TiK ToK,Kesha,pop,10,dance pop,2010,120,76,-3,200
Bad Romance,Lady Gaga,pop,10,dance pop,2010,119,70,-4,295
Just the Way You Are,Bruno Mars,pop,10,pop,2010,109,64,-5,221
Baby,Justin Bieber,pop,10,canadian pop,2010,65,73,-5,214
Dynamite,Taio Cruz,pop,10,dance pop,2010,120,75,-4,203
Secrets,OneRepublic,pop,10,dance pop,2010,148,52,-6,225
Empire State of Mind (Part II) Broken Down,Alicia Keys,pop,10,hip pop,2010,93,48,-8,216
Only Girl (In The World),Rihanna,pop,10,barbadian pop,2010,126,79,-4,235
Club Can't Handle Me (feat. David Guetta),Flo Rida,pop,10,dance pop,2010,128,62,-4,235
Marry You,Bruno Mars,pop,10,pop,2010,145,62,-5,230
Cooler Than Me - Single Mix,Mike Posner,pop,10,dance pop,2010,130,77,-5,213
Telephone,Lady Gaga,pop,10,dance pop,2010,122,83,-6,221
Like A G6,Far East Movement,pop,10,dance pop,2010,125,44,-8,217
OMG (feat. will.i.am),Usher,hip hop,16,atl hip hop,2010,130,78,-6,269
Eenie Meenie,Sean Kingston,pop,10,dance pop,2010,121,72,-4,202
The Time (Dirty Bit),The Black Eyed Peas,pop,10,dance pop,2010,128,82,-8,308
Alejandro,Lady Gaga,pop,10,dance pop,2010,99,63,-7,274
Your Love Is My Drug,Kesha,pop,10,dance pop,2010,120,83,-4,187
Meet Me Halfway,The Black Eyed Peas,pop,10,dance pop,2010,130,80,-7,284
Whataya Want from Me,Adam Lambert,pop,10,australian pop,2010,186,44,-5,227
Take It Off,Kesha,pop,10,dance pop,2010,125,73,-5,215
Misery,Maroon 5,pop,10,pop,2010,103,70,-5,216
All The Right Moves,OneRepublic,pop,10,dance pop,2010,146,53,-4,238
Animal,Neon Trees,pop,10,indie pop,2010,148,48,-6,212
Naturally,Selena Gomez & The Scene,pop,10,dance pop,2010,133,61,-5,203
I Like It,Enrique Iglesias,pop,10,dance pop,2010,129,65,-3,231
Teenage Dream,Katy Perry,pop,10,dance pop,2010,120,72,-5,228
California Gurls,Katy Perry,pop,10,dance pop,2010,125,79,-4,235
3,Britney Spears,pop,10,dance pop,2010,135,70,-2,213
My First Kiss - feat. Ke$ha,3OH!3,pop,10,dance pop,2010,138,68,-4,192
